My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
3,forehand groundstoke,left,1,right,backhand groundstroke,1,4.0,yes,out wide,1,3,out wide,Hard
2,forehand groundstoke,middle,1,left,backhand dropshot,1,7.0,yes,down the t,2,3,forehand groundstoke,Hard
2,backhand slice,middle,3,left,forehand groundstoke,1,8.0,yes,down the t,2,2,forehand groundstoke,Hard
3,backhand groundstroke,left,3,middle,forehand groundstoke,0,9.0,yes,down the t,3,3,backhand groundstroke,Hard
2,backhand groundstroke,middle,2,right,forehand groundstoke,0,5.0,yes,body,2,1,forehand groundstoke,Hard
5,forehand groundstoke,middle,1,left,forehand volley,1,5.0,yes,down the t,2,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,1,middle,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Hard
5,backhand groundstroke,middle,1,middle,forehand volley,1,3.0,yes,down the t,1,5,down the t,Hard
3,backhand groundstroke,left,3,right,forehand groundstoke,1,5.0,yes,out wide,2,1,forehand groundstoke,Hard
2,backhand slice,middle,1,right,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Hard
3,backhand groundstroke,left,1,right,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Hard
2,backhand volley,middle,6,left,forehand groundstoke,1,13.0,yes,out wide,2,4,forehand lob,Hard
3,backhand groundstroke,left,1,middle,backhand groundstroke,1,4.0,yes,out wide,1,3,out wide,Hard
5,backhand groundstroke,middle,1,left,backhand volley,0,3.0,yes,down the t,1,5,down the t,Hard
4,forehand groundstoke,right,2,left,forehand volley,0,5.0,yes,body,5,1,backhand volley,Hard
3,backhand groundstroke,left,1,right,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Hard
1,forehand groundstoke,right,1,left,forehand slice,0,6.0,yes,down the t,3,1,forehand groundstoke,Hard
3,forehand groundstoke,left,1,middle,forehand groundstoke,1,4.0,yes,down the t,1,3,down the t,Hard
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Hard
1,backhand groundstroke,right,3,right,forehand groundstoke,1,6.0,yes,body,3,1,backhand groundstroke,Hard
3,backhand groundstroke,left,1,left,forehand groundstoke,0,3.0,yes,out wide,1,3,out wide,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Hard
3,backhand groundstroke,left,1,left,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Hard
3,forehand groundstoke,left,2,left,backhand slice,1,8.0,yes,out wide,2,3,forehand groundstoke,Hard
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Hard
3,backhand groundstroke,left,1,right,backhand groundstroke,1,3.0,yes,out wide,1,3,out wide,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,0,4.0,yes,down the t,1,2,down the t,Hard
3,forehand dropshot,left,2,right,backhand groundstroke,1,7.0,yes,down the t,5,2,forehand overhead,Hard
2,forehand groundstoke,middle,1,right,forehand dropshot,1,3.0,yes,body,1,2,body,Hard
2,backhand groundstroke,middle,2,middle,forehand groundstoke,0,7.0,yes,out wide,3,2,backhand groundstroke,Hard
3,forehand dropshot,left,2,right,backhand groundstroke,1,19.0,yes,down the t,3,2,backhand groundstroke,Hard
3,backhand groundstroke,left,1,right,backhand slice,0,3.0,yes,out wide,1,3,out wide,Hard
5,backhand groundstroke,middle,1,left,forehand swing volley,1,3.0,yes,down the t,1,5,down the t,Hard
2,backhand slice,middle,3,right,forehand groundstoke,1,12.0,yes,down the t,2,1,backhand slice,Hard
3,forehand groundstoke,left,1,left,backhand dropshot,1,3.0,yes,down the t,1,3,down the t,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Hard
5,backhand groundstroke,middle,3,right,backhand volley,1,5.0,yes,down the t,5,1,backhand volley,Hard
1,backhand groundstroke,right,3,left,forehand groundstoke,1,8.0,yes,down the t,3,3,forehand groundstoke,Hard
5,backhand slice,middle,1,left,backhand volley,1,3.0,yes,down the t,1,5,down the t,Hard
3,backhand groundstroke,left,3,middle,forehand groundstoke,1,8.0,yes,out wide,3,2,backhand groundstroke,Hard
2,backhand slice,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
2,backhand slice,middle,1,right,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Hard
1,forehand groundstoke,right,2,left,forehand slice,0,5.0,yes,out wide,2,1,forehand groundstoke,Hard
3,backhand slice,left,1,right,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Hard
5,backhand groundstroke,middle,1,left,forehand volley,1,4.0,yes,down the t,1,5,down the t,Hard
3,backhand groundstroke,left,1,right,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Hard
3,backhand groundstroke,left,1,right,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Hard
1,forehand groundstoke,right,1,middle,forehand slice,0,5.0,yes,out wide,1,1,forehand groundstoke,Hard
5,backhand groundstroke,middle,1,left,backhand volley,1,3.0,yes,down the t,1,5,down the t,Hard
3,backhand groundstroke,left,3,left,backhand groundstroke,1,8.0,yes,down the t,2,2,backhand groundstroke,Hard
2,backhand slice,middle,1,left,backhand groundstroke,1,4.0,yes,down the t,1,2,down the t,Hard
6,backhand lob,left,2,left,forehand overhead,1,5.0,yes,down the t,5,1,forehand volley,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,0,4.0,yes,out wide,1,1,out wide,Hard
3,forehand groundstoke,left,1,middle,backhand groundstroke,1,3.0,yes,down the t,1,3,down the t,Hard
3,forehand groundstoke,left,1,left,backhand slice,1,4.0,yes,out wide,1,3,out wide,Hard
5,backhand groundstroke,middle,1,right,forehand volley,0,4.0,yes,body,1,5,body,Hard
3,forehand groundstoke,left,1,middle,backhand groundstroke,0,4.0,yes,out wide,1,3,out wide,Hard
1,backhand groundstroke,right,1,left,forehand groundstoke,0,3.0,yes,down the t,1,1,down the t,Hard
2,backhand groundstroke,middle,2,left,forehand groundstoke,0,5.0,yes,down the t,2,1,forehand groundstoke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,1,6.0,yes,body,2,1,forehand groundstoke,Hard
3,backhand slice,left,1,left,backhand groundstroke,0,3.0,yes,down the t,1,3,down the t,Hard
5,backhand groundstroke,middle,1,right,forehand volley,0,3.0,yes,body,1,5,body,Hard
5,backhand slice,middle,1,right,backhand volley,1,3.0,yes,down the t,1,5,down the t,Hard
2,backhand slice,middle,1,right,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,0,3.0,yes,body,1,2,body,Hard
5,forehand groundstoke,middle,1,middle,backhand volley,1,7.0,yes,down the t,2,3,forehand groundstoke,Hard
1,backhand groundstroke,right,3,left,forehand groundstoke,0,6.0,yes,out wide,3,1,forehand groundstoke,Hard
4,forehand groundstoke,right,2,middle,forehand volley,0,7.0,yes,down the t,5,3,forehand volley,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Hard
3,forehand groundstoke,left,1,middle,backhand slice,0,4.0,yes,out wide,1,3,out wide,Hard
1,backhand groundstroke,right,3,middle,forehand groundstoke,1,6.0,yes,down the t,2,1,forehand groundstoke,Hard
4,backhand slice,right,2,left,forehand volley,0,5.0,yes,out wide,2,1,forehand groundstoke,Hard
6,forehand groundstoke,left,1,left,backhand volley,1,17.0,yes,out wide,6,2,backhand volley,Hard
1,backhand groundstroke,right,3,right,forehand groundstoke,1,14.0,yes,out wide,3,2,backhand groundstroke,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Hard
1,forehand groundstoke,right,1,left,forehand groundstoke,0,5.0,yes,out wide,2,1,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,3.0,yes,body,1,2,body,Hard
3,backhand slice,left,1,left,forehand groundstoke,0,3.0,yes,out wide,1,3,out wide,Hard
3,backhand slice,left,1,middle,backhand groundstroke,1,4.0,yes,out wide,1,3,out wide,Hard
5,backhand slice,middle,1,middle,forehand swing volley,1,4.0,yes,down the t,1,5,down the t,Hard
1,forehand groundstoke,right,2,middle,forehand groundstoke,0,9.0,yes,out wide,2,3,forehand groundstoke,Hard
2,backhand slice,middle,3,left,forehand groundstoke,0,5.0,yes,body,2,1,forehand groundstoke,Hard
5,backhand groundstroke,middle,1,right,forehand volley,1,3.0,yes,down the t,1,5,down the t,Hard
5,backhand groundstroke,middle,2,right,backhand volley,1,5.0,yes,down the t,4,1,forehand volley,Hard
4,forehand groundstoke,right,2,middle,forehand volley,0,7.0,yes,down the t,6,3,backhand volley,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,11.0,yes,out wide,1,2,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,4.0,yes,out wide,1,2,out wide,Hard
3,forehand groundstoke,left,1,right,backhand slice,0,3.0,yes,down the t,1,3,down the t,Hard
6,backhand slice,left,1,left,backhand volley,1,3.0,yes,out wide,1,6,out wide,Hard
2,backhand slice,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
6,backhand lob,left,2,left,backhand overhead,1,7.0,yes,down the t,5,1,backhand volley,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,1,5.0,yes,body,2,1,forehand groundstoke,Hard
1,backhand slice,right,1,right,forehand groundstoke,1,3.0,yes,out wide,1,1,out wide,Hard
2,backhand groundstroke,middle,1,left,forehand dropshot,0,4.0,yes,down the t,1,2,down the t,Hard
3,backhand slice,left,3,left,backhand slice,1,18.0,yes,body,3,3,backhand slice,Hard
1,forehand groundstoke,right,1,left,forehand groundstoke,1,9.0,yes,down the t,3,3,forehand groundstoke,Hard
5,backhand slice,middle,1,right,backhand volley,1,3.0,yes,body,1,5,body,Hard
5,forehand groundstoke,middle,1,left,backhand swing volley,1,3.0,yes,out wide,1,5,out wide,Hard
5,forehand groundstoke,middle,1,left,forehand swing volley,0,3.0,yes,down the t,1,5,down the t,Hard
3,backhand slice,left,1,left,forehand groundstoke,1,4.0,yes,out wide,1,3,out wide,Hard
3,forehand groundstoke,left,2,middle,backhand groundstroke,0,7.0,yes,down the t,2,1,backhand groundstroke,Hard
5,backhand slice,middle,1,left,backhand volley,0,3.0,yes,down the t,1,5,down the t,Hard
3,backhand slice,left,1,right,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Hard
3,backhand slice,left,1,left,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Hard
2,forehand groundstoke,middle,1,middle,backhand groundstroke,0,3.0,yes,out wide,1,2,out wide,Hard
2,forehand groundstoke,middle,2,left,forehand groundstoke,1,11.0,yes,down the t,2,3,forehand groundstoke,Hard
2,backhand groundstroke,middle,1,middle,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
6,forehand groundstoke,left,1,left,backhand volley,1,4.0,yes,out wide,1,6,out wide,Hard
6,forehand slice,left,1,right,backhand volley,0,5.0,yes,down the t,5,1,forehand half volley,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
5,backhand groundstroke,middle,1,middle,forehand volley,0,3.0,yes,body,1,5,body,Hard
5,forehand slice,middle,1,right,backhand volley,1,3.0,yes,out wide,1,5,out wide,Hard
2,backhand slice,middle,1,middle,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Hard
3,backhand groundstroke,left,2,right,backhand groundstroke,0,5.0,yes,out wide,2,1,backhand groundstroke,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,4.0,yes,out wide,1,2,out wide,Hard
3,forehand groundstoke,left,1,middle,backhand groundstroke,1,4.0,yes,body,1,3,body,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4.0,yes,out wide,1,2,out wide,Hard
1,forehand groundstoke,right,1,left,forehand groundstoke,0,3.0,yes,body,1,1,body,Hard
5,backhand groundstroke,middle,3,right,backhand volley,0,5.0,yes,out wide,2,1,backhand slice,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
5,forehand groundstoke,middle,1,left,backhand volley,1,4.0,yes,down the t,1,5,down the t,Hard
2,backhand slice,middle,1,right,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Hard
4,backhand slice,right,1,left,forehand volley,0,4.0,yes,down the t,1,4,down the t,Hard
5,forehand groundstoke,middle,1,left,backhand volley,1,5.0,yes,down the t,2,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,1,left,backhand groundstroke,1,4.0,yes,body,1,2,body,Hard
5,backhand slice,middle,1,right,forehand volley,1,3.0,yes,out wide,1,5,out wide,Hard
5,forehand groundstoke,middle,1,left,forehand swing volley,1,3.0,yes,down the t,1,5,down the t,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Hard
5,backhand groundstroke,middle,1,left,backhand volley,0,4.0,yes,body,1,5,body,Hard
4,backhand lob,right,3,right,forehand overhead,1,5.0,yes,out wide,2,1,forehand groundstoke,Hard
2,backhand slice,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Hard
3,backhand slice,left,1,right,forehand groundstoke,0,3.0,yes,out wide,1,3,out wide,Hard
2,backhand slice,middle,1,right,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Hard
3,forehand groundstoke,left,3,left,backhand groundstroke,1,6.0,yes,out wide,3,1,backhand groundstroke,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,1,4.0,yes,body,1,2,body,Hard
3,backhand slice,left,3,right,forehand groundstoke,1,5.0,yes,body,2,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,3,middle,forehand groundstoke,0,5.0,yes,out wide,3,1,forehand groundstoke,Hard
2,forehand slice,middle,1,left,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Hard
5,backhand groundstroke,middle,1,left,backhand volley,1,3.0,yes,body,1,5,body,Hard
6,backhand slice,left,1,right,backhand volley,1,3.0,yes,out wide,1,6,out wide,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,1,8.0,yes,out wide,2,1,forehand groundstoke,Grass
5,forehand lob,middle,1,left,forehand overhead,1,7.0,yes,down the t,5,3,forehand volley,Grass
6,forehand groundstoke,left,1,left,backhand volley,0,3.0,yes,down the t,1,6,down the t,Grass
5,backhand lob,middle,2,left,forehand overhead,1,5.0,yes,down the t,5,1,backhand volley,Grass
1,backhand groundstroke,right,3,left,forehand groundstoke,0,8.0,yes,down the t,3,3,forehand groundstoke,Grass
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,4.0,yes,out wide,1,2,out wide,Grass
5,backhand lob,middle,3,left,forehand overhead,1,5.0,yes,out wide,2,1,forehand groundstoke,Grass
6,backhand groundstroke,left,3,left,backhand volley,0,5.0,yes,out wide,2,1,forehand groundstoke,Grass
3,forehand groundstoke,left,1,middle,backhand groundstroke,0,10.0,yes,out wide,1,1,forehand groundstoke,Grass
4,backhand groundstroke,right,3,right,forehand volley,0,5.0,yes,body,2,1,forehand groundstoke,Grass
6,backhand lob,left,3,right,forehand overhead,1,5.0,yes,down the t,5,1,backhand volley,Grass
3,backhand slice,left,3,left,forehand groundstoke,1,6.0,yes,out wide,2,1,forehand groundstoke,Grass
6,backhand groundstroke,left,1,right,backhand volley,1,3.0,yes,out wide,1,6,out wide,Grass
5,backhand groundstroke,middle,1,middle,forehand half volley,1,4.0,yes,down the t,1,5,down the t,Grass
2,forehand groundstoke,middle,1,middle,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Grass
1,forehand groundstoke,right,2,left,forehand groundstoke,0,13.0,yes,out wide,2,3,forehand groundstoke,Grass
2,forehand groundstoke,middle,1,right,forehand dropshot,1,6.0,yes,out wide,2,1,forehand groundstoke,Grass
6,forehand groundstoke,left,1,left,backhand volley,0,4.0,yes,out wide,1,6,out wide,Grass
3,backhand groundstroke,left,2,middle,backhand groundstroke,0,22.0,yes,down the t,1,1,forehand groundstoke,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Grass
5,backhand slice,middle,1,right,forehand volley,1,3.0,yes,body,1,5,body,Grass
6,backhand groundstroke,left,1,right,backhand volley,1,3.0,yes,body,1,6,body,Grass
3,forehand groundstoke,left,1,right,forehand groundstoke,0,3.0,yes,down the t,1,3,down the t,Grass
5,backhand slice,middle,1,left,backhand volley,0,3.0,yes,down the t,1,5,down the t,Grass
5,forehand groundstoke,middle,1,middle,forehand volley,1,5.0,yes,out wide,6,1,backhand volley,Grass
6,backhand groundstroke,left,1,middle,backhand volley,0,4.0,yes,down the t,1,6,down the t,Grass
3,forehand groundstoke,left,1,left,forehand groundstoke,1,3.0,yes,down the t,1,3,down the t,Grass
2,backhand groundstroke,middle,3,left,forehand dropshot,0,7.0,yes,out wide,2,1,forehand groundstoke,Grass
2,backhand groundstroke,middle,3,left,forehand groundstoke,1,6.0,yes,down the t,2,1,forehand groundstoke,Grass
1,forehand groundstoke,right,1,left,forehand groundstoke,1,6.0,yes,out wide,2,1,forehand groundstoke,Grass
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Grass
1,forehand groundstoke,right,1,right,forehand groundstoke,0,3.0,yes,down the t,1,1,down the t,Grass
4,forehand groundstoke,right,1,middle,forehand volley,0,5.0,yes,down the t,6,1,backhand volley,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4.0,yes,out wide,1,2,out wide,Grass
6,backhand groundstroke,left,3,right,backhand volley,1,5.0,yes,body,1,1,forehand groundstoke,Grass
2,backhand groundstroke,middle,3,middle,forehand groundstoke,1,6.0,yes,down the t,2,1,forehand groundstoke,Grass
1,forehand groundstoke,right,1,right,forehand groundstoke,0,7.0,yes,down the t,3,3,backhand groundstroke,Grass
3,forehand groundstoke,left,1,left,backhand groundstroke,1,4.0,yes,body,1,3,body,Grass
2,backhand groundstroke,middle,3,middle,forehand groundstoke,0,5.0,yes,down the t,2,1,forehand groundstoke,Grass
5,backhand lob,middle,3,middle,forehand overhead,1,7.0,yes,body,6,3,backhand volley,Grass
1,forehand groundstoke,right,1,right,forehand groundstoke,1,6.0,yes,out wide,3,1,forehand groundstoke,Grass
3,forehand groundstoke,left,2,middle,backhand dropshot,0,10.0,yes,body,3,2,backhand lob,Grass
2,backhand groundstroke,middle,1,middle,backhand groundstroke,0,3.0,yes,body,1,2,body,Grass
1,backhand groundstroke,right,3,middle,forehand groundstoke,0,5.0,yes,out wide,3,1,forehand groundstoke,Grass
1,forehand groundstoke,right,1,right,forehand groundstoke,1,26.0,yes,out wide,2,1,forehand groundstoke,Grass
5,backhand groundstroke,middle,1,right,forehand volley,1,3.0,yes,out wide,1,5,out wide,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,3.0,yes,down the t,1,2,down the t,Grass
2,forehand groundstoke,middle,1,middle,backhand groundstroke,0,3.0,yes,out wide,1,2,out wide,Grass
